episode_title,episode_date,length_minutes,n_episodes,title,author,frequency
NerdCast 567 - La Belle Époque,2017-05-12,95,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 566 - Não esqueça da memória!,2017-05-05,89,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 15 - Vírus,2017-05-05,55,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 565 - E se… voltássemos no tempo?,2017-04-28,90,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 28 - O valor do Networking,2017-04-28,44,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 564 - O lado bom da vida,2017-04-21,87,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 563 - Motoca: A VigilantA do Amanhã,2017-04-14,89,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 562 - Isso é muito Black Mirror!,2017-04-07,146,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 14 - Filmes com programadores,2017-04-07,50,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 561 - A Chegada e o ciclo linguístico,2017-03-31,112,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 27 - Qual é o seu verdadeiro negócio?,2017-03-31,52,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 560 - Como funciona o Brasil: TCU,2017-03-24,113,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 559 - Tecnologias do Futuro 3,2017-03-17,97,830,NerdCast,Jovem Nerd,Weekly podcast
"NerdCast 558 - Logan, filmão da porra!",2017-03-10,131,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 557 - Mass Effect é massa!,2017-03-03,106,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 13 - Os navegadores da internet,2017-03-03,54,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 556 - Profissão: Engenheiro de áudio,2017-02-24,102,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 26 - Crenças limitantes,2017-02-24,44,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 555 - VIKINGS!,2017-02-17,83,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 554 - Múltiplas personalidades,2017-02-10,66,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 553 - Westworld: modo análise,2017-02-03,131,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 12 - Robôs querem seu emprego,2017-02-03,57,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 552 - Novas teorias e conspirações,2017-01-27,97,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 25 - Resoluções e planejamento,2017-01-27,49,830,NerdCast,Jovem Nerd,Weekly podcast
"NerdCast 551 - Turistas babacas, na humildade",2017-01-20,92,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 550 - O Melhor de 550 Nerdcasts!,2017-01-13,160,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 549 - RPG Call of Cthulhu 1: O mistério de William Faraday,2017-01-06,161,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 11 - Privacidade Online Não Existe,2017-01-06,42,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 549 Teaser - Nerdcast Radio News,2016-12-30,1,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 548 - Rogue One: A Fan Service Story,2016-12-23,163,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 24 - O Lado B de 2017,2016-12-23,52,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 547 - Política Internacional 2016,2016-12-16,117,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 546 - Nerdtour Japão,2016-12-09,102,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 545 - Profissão: Artista Digital,2016-12-02,137,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 10 - Page Rank e SEO,2016-12-02,49,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 544 - Colonizando o espaço,2016-11-25,85,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 23 - Dando a volta por cima!,2016-11-25,51,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 543 - Histórias do Brasil: Redemocratização,2016-11-18,105,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 542 - Papo de m3rda,2016-11-11,116,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 541 - Qual é a música?,2016-11-04,90,830,NerdCast,Jovem Nerd,Weekly podcast
NerdTech 09 - UX – As experiências e frustrações,2016-11-04,50,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 540 - A pergunta é: por quê?!,2016-10-28,81,830,NerdCast,Jovem Nerd,Weekly podcast
Empreendedor 22 - Quem sabe negociar?,2016-10-28,36,830,NerdCast,Jovem Nerd,Weekly podcast
NerdCast 539 - A Angústia da realidade simulada,2016-10-21,82,830,NerdCast,Jovem Nerd,Weekly podcast
